Id,Code_18,EU_ID,Description,East_1K,North_1K
190,311,EU_1605063,Broad-leaved forest,499000,261000
191,311,EU_1605063,Broad-leaved forest,499000,262000
192,311,EU_1605063,Broad-leaved forest,499000,263000
193,112,EU_1572286,Discontinuous urban fabric,500000,250000
194,231,EU_1594771,Pastures,500000,250000
195,112,EU_1572286,Discontinuous urban fabric,500000,250000
196,231,EU_1594771,Pastures,500000,250000
197,112,EU_1572286,Discontinuous urban fabric,500000,250000
198,231,EU_1594771,Pastures,500000,250000
199,112,EU_1572286,Discontinuous urban fabric,500000,251000
200,231,EU_1594771,Pastures,500000,251000
201,112,EU_1572286,Discontinuous urban fabric,500000,251000
202,231,EU_1594771,Pastures,500000,251000
203,112,EU_1572352,Discontinuous urban fabric,500000,252000
204,112,EU_1572352,Discontinuous urban fabric,500000,252000
205,112,EU_1572352,Discontinuous urban fabric,500000,252000
206,112,EU_1572352,Discontinuous urban fabric,500000,252000
207,112,EU_1572352,Discontinuous urban fabric,500000,253000
208,112,EU_1572352,Discontinuous urban fabric,500000,253000
209,112,EU_1572352,Discontinuous urban fabric,500000,254000
210,112,EU_1572352,Discontinuous urban fabric,500000,254000
211,142,EU_1583382,Sport and leisure facilities,500000,255000
212,231,EU_1594952,Pastures,500000,255000
213,142,EU_1583382,Sport and leisure facilities,500000,255000
214,231,EU_1594952,Pastures,500000,255000
215,142,EU_1583382,Sport and leisure facilities,500000,255000
216,231,EU_1594952,Pastures,500000,255000
217,311,EU_1605044,Broad-leaved forest,500000,261000
218,321,EU_1614812,Natural grassland,500000,261000
219,321,EU_1614812,Natural grassland,500000,262000
220,321,EU_1614812,Natural grassland,500000,263000
221,112,EU_1572286,Discontinuous urban fabric,501000,250000
222,231,EU_1594771,Pastures,501000,250000
223,112,EU_1572286,Discontinuous urban fabric,501000,250000
224,231,EU_1594771,Pastures,501000,250000
225,112,EU_1572286,Discontinuous urban fabric,501000,250000
226,231,EU_1594771,Pastures,501000,250000
227,112,EU_1572286,Discontinuous urban fabric,501000,250000
228,231,EU_1594771,Pastures,501000,250000
229,112,EU_1572286,Discontinuous urban fabric,501000,251000
230,231,EU_1594771,Pastures,501000,251000
231,112,EU_1572286,Discontinuous urban fabric,501000,251000
232,231,EU_1594771,Pastures,501000,251000
233,112,EU_1572286,Discontinuous urban fabric,501000,251000
234,231,EU_1594771,Pastures,501000,251000
235,112,EU_1572334,Discontinuous urban fabric,501000,252000
236,112,EU_1572352,Discontinuous urban fabric,501000,252000
237,112,EU_1572334,Discontinuous urban fabric,501000,252000
238,112,EU_1572352,Discontinuous urban fabric,501000,252000
239,112,EU_1572334,Discontinuous urban fabric,501000,252000
240,112,EU_1572352,Discontinuous urban fabric,501000,252000
241,112,EU_1572352,Discontinuous urban fabric,501000,253000
242,112,EU_1572352,Discontinuous urban fabric,501000,253000
243,112,EU_1572352,Discontinuous urban fabric,501000,253000
244,112,EU_1572352,Discontinuous urban fabric,501000,254000
245,112,EU_1572352,Discontinuous urban fabric,501000,254000
246,112,EU_1572352,Discontinuous urban fabric,501000,254000
247,112,EU_1572411,Discontinuous urban fabric,501000,255000
248,112,EU_1572411,Discontinuous urban fabric,501000,255000
249,112,EU_1572411,Discontinuous urban fabric,501000,255000
250,112,EU_1572411,Discontinuous urban fabric,501000,256000
251,112,EU_1572411,Discontinuous urban fabric,501000,256000
252,112,EU_1572411,Discontinuous urban fabric,501000,256000
253,321,EU_1614812,Natural grassland,501000,261000
254,321,EU_1614812,Natural grassland,501000,262000
255,321,EU_1614812,Natural grassland,501000,262000
256,312,EU_1609047,Coniferous forest,501000,263000
257,321,EU_1614812,Natural grassland,501000,263000
258,312,EU_1609047,Coniferous forest,501000,264000
259,231,EU_1594771,Pastures,502000,251000
260,231,EU_1594771,Pastures,502000,251000
261,112,EU_1572334,Discontinuous urban fabric,502000,252000
262,112,EU_1572334,Discontinuous urban fabric,502000,252000
263,112,EU_1572334,Discontinuous urban fabric,502000,252000
264,112,EU_1572334,Discontinuous urban fabric,502000,253000
265,112,EU_1572334,Discontinuous urban fabric,502000,253000
266,112,EU_1572334,Discontinuous urban fabric,502000,253000
267,112,EU_1572334,Discontinuous urban fabric,502000,254000
268,112,EU_1572334,Discontinuous urban fabric,502000,254000
269,112,EU_1572411,Discontinuous urban fabric,502000,255000
270,112,EU_1572411,Discontinuous urban fabric,502000,255000
271,112,EU_1572411,Discontinuous urban fabric,502000,256000
272,112,EU_1572415,Discontinuous urban fabric,502000,256000
273,112,EU_1572411,Discontinuous urban fabric,502000,256000
274,112,EU_1572415,Discontinuous urban fabric,502000,256000
275,321,EU_1614812,Natural grassland,502000,262000
276,321,EU_1614812,Natural grassland,502000,262000
277,312,EU_1609047,Coniferous forest,502000,263000
278,312,EU_1609047,Coniferous forest,502000,264000
279,312,EU_1609047,Coniferous forest,502000,264000
280,112,EU_1572334,Discontinuous urban fabric,503000,252000
281,231,EU_1594831,Pastures,503000,252000
282,112,EU_1572334,Discontinuous urban fabric,503000,252000
283,231,EU_1594831,Pastures,503000,252000
284,112,EU_1572334,Discontinuous urban fabric,503000,252000
285,231,EU_1594831,Pastures,503000,252000
286,112,EU_1572334,Discontinuous urban fabric,503000,253000
287,231,EU_1594831,Pastures,503000,253000
288,112,EU_1572334,Discontinuous urban fabric,503000,253000
289,231,EU_1594831,Pastures,503000,253000
290,112,EU_1572415,Discontinuous urban fabric,503000,255000
291,112,EU_1572415,Discontinuous urban fabric,503000,256000
292,231,EU_1594831,Pastures,504000,253000
293,231,EU_1594956,Pastures,501000,252000
294,231,EU_1594956,Pastures,501000,252000
295,231,EU_1594956,Pastures,501000,252000
296,231,EU_1594956,Pastures,501000,253000
297,231,EU_1594956,Pastures,501000,253000
298,231,EU_1594956,Pastures,501000,253000
299,231,EU_1594956,Pastures,502000,252000
300,231,EU_1594956,Pastures,502000,252000
301,231,EU_1594956,Pastures,502000,252000
302,231,EU_1594956,Pastures,498000,255000
303,231,EU_1594956,Pastures,498000,255000
304,231,EU_1594956,Pastures,498000,255000
305,231,EU_1594956,Pastures,499000,254000
306,231,EU_1594956,Pastures,499000,254000
307,231,EU_1594956,Pastures,499000,255000
308,231,EU_1594956,Pastures,499000,255000
309,231,EU_1594956,Pastures,499000,255000
310,231,EU_1594956,Pastures,500000,252000
311,231,EU_1594956,Pastures,500000,252000
312,231,EU_1594956,Pastures,500000,252000
313,231,EU_1594956,Pastures,500000,252000
314,231,EU_1594956,Pastures,500000,253000
315,231,EU_1594956,Pastures,500000,253000
316,231,EU_1594962,Pastures,501000,254000
317,231,EU_1594962,Pastures,501000,254000
318,231,EU_1594962,Pastures,501000,254000
319,231,EU_1594962,Pastures,502000,254000
320,231,EU_1594962,Pastures,502000,254000
321,231,EU_1594962,Pastures,501000,255000
322,231,EU_1594962,Pastures,501000,255000
323,231,EU_1594962,Pastures,501000,255000
324,231,EU_1594962,Pastures,502000,255000
325,231,EU_1594962,Pastures,502000,255000
326,231,EU_1594962,Pastures,502000,256000
327,231,EU_1594962,Pastures,502000,256000
328,231,EU_1594962,Pastures,501000,256000
329,231,EU_1594962,Pastures,501000,256000
330,231,EU_1594962,Pastures,501000,256000
331,231,EU_1595003,Pastures,500000,255000
332,231,EU_1595003,Pastures,501000,255000
333,231,EU_1595003,Pastures,501000,255000
334,231,EU_1595003,Pastures,501000,255000
335,231,EU_1595003,Pastures,499000,256000
